channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,"e^(iπ) in 3.14 minutes, using dynamics | DE5",,complex numbers; exponentials & logarithms; trigonometry & waves,4.1,https://www.youtube.com/watch?v=v0YEaeIClKY,3300000,v0YEaeIClKY
3Blue1Brown,Pure Fourier series animation montage,yes,trigonometry & waves,12.5,https://www.youtube.com/watch?v=-qgreAUpPwM,689000,-qgreAUpPwM
3Blue1Brown,But what is a Fourier series?  From heat flow to drawing with circles | DE4,yes,trigonometry & waves,24.8,https://www.youtube.com/watch?v=r6sGWTCMz2k,18000000,r6sGWTCMz2k
3Blue1Brown,Solving the heat equation | DE3,,algebra & equations,14.2,https://www.youtube.com/watch?v=ToIXSwZ1pJU,1600000,ToIXSwZ1pJU
3Blue1Brown,But what is a partial differential equation?  | DE2,,algebra & equations,17.6,https://www.youtube.com/watch?v=ly4S0oi3Yz8,3200000,ly4S0oi3Yz8
3Blue1Brown,"Differential equations, a tourist's guide | DE1",yes,algebra & equations,27.3,https://www.youtube.com/watch?v=p_di4Zn4wz4,6000000,p_di4Zn4wz4
3Blue1Brown,"Cramer's rule, explained geometrically | Chapter 12, Essence of linear algebra",yes,algebra & equations; geometry; matrices & vectors,12.2,https://www.youtube.com/watch?v=jBsC34PxzoM,1500000,jBsC34PxzoM
3Blue1Brown,How colliding blocks act like a beam of light...to compute pi.,,trigonometry & waves,14.7,https://www.youtube.com/watch?v=brU5yLm9DZM,1300000,brU5yLm9DZM
3Blue1Brown,The most unexpected answer to a counting puzzle,,counting & combinatorics; games & puzzles,5.2,https://www.youtube.com/watch?v=HEfHFsfGXjs,14000000,HEfHFsfGXjs
3Blue1Brown,But why is a sphere's surface area four times its shadow?,yes,geometry,15.8,https://www.youtube.com/watch?v=GNcFjFmqEc8,8700000,GNcFjFmqEc8
3Blue1Brown,Using topology for discrete problems | The Borsuk-Ulam theorem and stolen necklaces,,geometry,19.4,https://www.youtube.com/watch?v=yuVqxCSsE7c,962000,yuVqxCSsE7c
3Blue1Brown,Why 5/3 is a fundamental constant for turbulence,,simulation,11.5,https://www.youtube.com/watch?v=_UoTTq651dE,794000,_UoTTq651dE
3Blue1Brown,"Quaternions and 3d rotation, explained interactively",yes,3D graphics,6.0,https://www.youtube.com/watch?v=zjMuIxRvygQ,1500000,zjMuIxRvygQ
3Blue1Brown,Visualizing the 4d numbers Quaternions,yes,3D graphics; numbers,31.9,https://www.youtube.com/watch?v=d4EgbgTm0Bg,5500000,d4EgbgTm0Bg
3Blue1Brown,Q&A with Grant Sanderson (3blue1brown),,simulation,10.3,https://www.youtube.com/watch?v=Qe6o9j4IjTo,826000,Qe6o9j4IjTo
3Blue1Brown,Why slicing a cone gives an ellipse (beautiful proof),,logic,12.9,https://www.youtube.com/watch?v=pQa_tWZmlGs,2300000,pQa_tWZmlGs
