book,chapter,character,mentions
pride-and-prejudice,31,Lady Catherine,7
pride-and-prejudice,32,Elizabeth,12
pride-and-prejudice,32,Darcy,8
pride-and-prejudice,32,Jane,2
pride-and-prejudice,32,Mr Bingley,3
pride-and-prejudice,32,Miss Bingley,0
pride-and-prejudice,32,Wickham,1
pride-and-prejudice,32,Lydia,0
pride-and-prejudice,32,Mr Collins,8
pride-and-prejudice,32,Charlotte,3
pride-and-prejudice,32,Mrs Bennet,0
pride-and-prejudice,32,Mr Bennet,0
pride-and-prejudice,32,Lady Catherine,3
pride-and-prejudice,33,Elizabeth,4
pride-and-prejudice,33,Darcy,18
pride-and-prejudice,33,Jane,5
pride-and-prejudice,33,Mr Bingley,7
pride-and-prejudice,33,Miss Bingley,2
pride-and-prejudice,33,Wickham,0
pride-and-prejudice,33,Lydia,0
pride-and-prejudice,33,Mr Collins,3
pride-and-prejudice,33,Charlotte,0
pride-and-prejudice,33,Mrs Bennet,0
pride-and-prejudice,33,Mr Bennet,0
pride-and-prejudice,33,Lady Catherine,1
pride-and-prejudice,34,Elizabeth,9
pride-and-prejudice,34,Darcy,11
pride-and-prejudice,34,Jane,3
pride-and-prejudice,34,Mr Bingley,0
pride-and-prejudice,34,Miss Bingley,0
pride-and-prejudice,34,Wickham,2
pride-and-prejudice,34,Lydia,0
pride-and-prejudice,34,Mr Collins,0
pride-and-prejudice,34,Charlotte,1
pride-and-prejudice,34,Mrs Bennet,0
pride-and-prejudice,34,Mr Bennet,0
pride-and-prejudice,34,Lady Catherine,1
pride-and-prejudice,35,Elizabeth,2
pride-and-prejudice,35,Darcy,4
pride-and-prejudice,35,Jane,0
pride-and-prejudice,35,Mr Bingley,4
pride-and-prejudice,35,Miss Bingley,1
pride-and-prejudice,35,Wickham,12
pride-and-prejudice,35,Lydia,0
pride-and-prejudice,35,Mr Collins,0
pride-and-prejudice,35,Charlotte,0
pride-and-prejudice,35,Mrs Bennet,0
pride-and-prejudice,35,Mr Bennet,0
pride-and-prejudice,35,Lady Catherine,0
pride-and-prejudice,36,Elizabeth,2
pride-and-prejudice,36,Darcy,14
pride-and-prejudice,36,Jane,6
pride-and-prejudice,36,Mr Bingley,3
pride-and-prejudice,36,Miss Bingley,0
pride-and-prejudice,36,Wickham,9
pride-and-prejudice,36,Lydia,0
pride-and-prejudice,36,Mr Collins,0
pride-and-prejudice,36,Charlotte,1
pride-and-prejudice,36,Mrs Bennet,0
pride-and-prejudice,36,Mr Bennet,0
pride-and-prejudice,36,Lady Catherine,0
pride-and-prejudice,37,Elizabeth,4
pride-and-prejudice,37,Darcy,5
pride-and-prejudice,37,Jane,4
pride-and-prejudice,37,Mr Bingley,1
pride-and-prejudice,37,Miss Bingley,0
pride-and-prejudice,37,Wickham,1
pride-and-prejudice,37,Lydia,3
pride-and-prejudice,37,Mr Collins,6
pride-and-prejudice,37,Charlotte,0
pride-and-prejudice,37,Mrs Bennet,1
pride-and-prejudice,37,Mr Bennet,0
pride-and-prejudice,37,Lady Catherine,7
pride-and-prejudice,38,Elizabeth,10
pride-and-prejudice,38,Darcy,1
pride-and-prejudice,38,Jane,3
pride-and-prejudice,38,Mr Bingley,1
pride-and-prejudice,38,Miss Bingley,0
pride-and-prejudice,38,Wickham,0
pride-and-prejudice,38,Lydia,0
pride-and-prejudice,38,Mr Collins,5
pride-and-prejudice,38,Charlotte,3
pride-and-prejudice,38,Mrs Bennet,0
pride-and-prejudice,38,Mr Bennet,0
pride-and-prejudice,38,Lady Catherine,2
pride-and-prejudice,39,Elizabeth,11
pride-and-prejudice,39,Darcy,0
pride-and-prejudice,39,Jane,5
pride-and-prejudice,39,Mr Bingley,0
pride-and-prejudice,39,Miss Bingley,0
pride-and-prejudice,39,Wickham,6
pride-and-prejudice,39,Lydia,11
pride-and-prejudice,39,Mr Collins,1
pride-and-prejudice,39,Charlotte,0
pride-and-prejudice,39,Mrs Bennet,2
pride-and-prejudice,39,Mr Bennet,2
pride-and-prejudice,39,Lady Catherine,0
pride-and-prejudice,40,Elizabeth,10
pride-and-prejudice,40,Darcy,10
pride-and-prejudice,40,Jane,9
pride-and-prejudice,40,Mr Bingley,2
pride-and-prejudice,40,Miss Bingley,0
pride-and-prejudice,40,Wickham,7
pride-and-prejudice,40,Lydia,0
pride-and-prejudice,40,Mr Collins,0
pride-and-prejudice,40,Charlotte,1
pride-and-prejudice,40,Mrs Bennet,1
pride-and-prejudice,40,Mr Bennet,0
pride-and-prejudice,40,Lady Catherine,0
pride-and-prejudice,41,Elizabeth,12
pride-and-prejudice,41,Darcy,4
pride-and-prejudice,41,Jane,2
pride-and-prejudice,41,Mr Bingley,0
pride-and-prejudice,41,Miss Bingley,0
pride-and-prejudice,41,Wickham,4
pride-and-prejudice,41,Lydia,21
pride-and-prejudice,41,Mr Collins,0
pride-and-prejudice,41,Charlotte,0
pride-and-prejudice,41,Mrs Bennet,2
pride-and-prejudice,41,Mr Bennet,2
pride-and-prejudice,41,Lady Catherine,0
pride-and-prejudice,42,Elizabeth,10
pride-and-prejudice,42,Darcy,1
pride-and-prejudice,42,Jane,2
pride-and-prejudice,42,Mr Bingley,0
pride-and-prejudice,42,Miss Bingley,0
pride-and-prejudice,42,Wickham,2
pride-and-prejudice,42,Lydia,1
pride-and-prejudice,42,Mr Collins,0
pride-and-prejudice,42,Charlotte,0
pride-and-prejudice,42,Mrs Bennet,1
pride-and-prejudice,42,Mr Bennet,1
pride-and-prejudice,42,Lady Catherine,0
pride-and-prejudice,43,Elizabeth,42
pride-and-prejudice,43,Darcy,17
pride-and-prejudice,43,Jane,0
pride-and-prejudice,43,Mr Bingley,2
pride-and-prejudice,43,Miss Bingley,0
pride-and-prejudice,43,Wickham,7
pride-and-prejudice,43,Lydia,0
pride-and-prejudice,43,Mr Collins,0
pride-and-prejudice,43,Charlotte,0
pride-and-prejudice,43,Mrs Bennet,0
pride-and-prejudice,43,Mr Bennet,0
pride-and-prejudice,43,Lady Catherine,0
pride-and-prejudice,44,Elizabeth,14
pride-and-prejudice,44,Darcy,17
pride-and-prejudice,44,Jane,2
pride-and-prejudice,44,Mr Bingley,6
pride-and-prejudice,44,Miss Bingley,0
pride-and-prejudice,44,Wickham,1
pride-and-prejudice,44,Lydia,0
pride-and-prejudice,44,Mr Collins,0
pride-and-prejudice,44,Charlotte,0
pride-and-prejudice,44,Mrs Bennet,0
pride-and-prejudice,44,Mr Bennet,0
pride-and-prejudice,44,Lady Catherine,0
pride-and-prejudice,45,Elizabeth,20
pride-and-prejudice,45,Darcy,17
pride-and-prejudice,45,Jane,0
pride-and-prejudice,45,Mr Bingley,4
pride-and-prejudice,45,Miss Bingley,10
pride-and-prejudice,45,Wickham,2
pride-and-prejudice,45,Lydia,0
pride-and-prejudice,45,Mr Collins,0
pride-and-prejudice,45,Charlotte,0
pride-and-prejudice,45,Mrs Bennet,0
pride-and-prejudice,45,Mr Bennet,0
pride-and-prejudice,45,Lady Catherine,0
pride-and-prejudice,46,Elizabeth,17
pride-and-prejudice,46,Darcy,9
pride-and-prejudice,46,Jane,7
pride-and-prejudice,46,Mr Bingley,0
pride-and-prejudice,46,Miss Bingley,0
pride-and-prejudice,46,Wickham,6
pride-and-prejudice,46,Lydia,16
pride-and-prejudice,46,Mr Collins,0
pride-and-prejudice,46,Charlotte,0
pride-and-prejudice,46,Mrs Bennet,0
pride-and-prejudice,46,Mr Bennet,0
pride-and-prejudice,46,Lady Catherine,0
pride-and-prejudice,47,Elizabeth,20
pride-and-prejudice,47,Darcy,3
pride-and-prejudice,47,Jane,16
pride-and-prejudice,47,Mr Bingley,0
pride-and-prejudice,47,Miss Bingley,0
pride-and-prejudice,47,Wickham,11
pride-and-prejudice,47,Lydia,16
pride-and-prejudice,47,Mr Collins,0
pride-and-prejudice,47,Charlotte,0
pride-and-prejudice,47,Mrs Bennet,2
pride-and-prejudice,47,Mr Bennet,2
pride-and-prejudice,47,Lady Catherine,0
pride-and-prejudice,48,Elizabeth,11
pride-and-prejudice,48,Darcy,1
pride-and-prejudice,48,Jane,3
pride-and-prejudice,48,Mr Bingley,0
pride-and-prejudice,48,Miss Bingley,0
pride-and-prejudice,48,Wickham,4
pride-and-prejudice,48,Lydia,5
pride-and-prejudice,48,Mr Collins,3
pride-and-prejudice,48,Charlotte,1
pride-and-prejudice,48,Mrs Bennet,3
pride-and-prejudice,48,Mr Bennet,6
pride-and-prejudice,48,Lady Catherine,2
pride-and-prejudice,49,Elizabeth,14
pride-and-prejudice,49,Darcy,0
pride-and-prejudice,49,Jane,11
pride-and-prejudice,49,Mr Bingley,0
pride-and-prejudice,49,Miss Bingley,0
pride-and-prejudice,49,Wickham,8
pride-and-prejudice,49,Lydia,8
pride-and-prejudice,49,Mr Collins,0
