genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Tonganosaurus,Li et al. 2010,201.4,174.7,Hettangian,Toarcian,1
Volgatitan,Averianov and Efimov 2018,132.6,125.77,Hauterivian,,1
Huangshanlong,Huang et al. 2014,174.7,161.5,Aalenian,Callovian,1
Omeisaurus,Young 1939,174.7,143.1,Aalenian,Tithonian,13
Anhuilong,Ren et al. 2018,174.7,161.5,Aalenian,Callovian,1
Rhomaleopakhus,Upchurch et al. 2021,152.21,143.1,Kimmeridgian,Tithonian,1
Qijianglong,Xing et al. 2015,161.5,143.1,Oxfordian,Tithonian,1
Hudiesaurus,Dong 1997,152.21,143.1,Kimmeridgian,Tithonian,1
Uragasaurus,Nilpanapan et al. 2026,149.2,137.05,Tithonian,Berriasian,1
Jingiella,Ren et al. 2024,154.8,149.2,Kimmeridgian,,1
Tienshanosaurus,Young 1937,161.5,154.8,Oxfordian,,3
Mamenchisaurus,Young 1954,168.2,113.2,Bathonian,Aptian,24
Wamweracaudia,Mannion et al. 2019,149.2,143.1,Tithonian,,2
Daanosaurus,Ye et al. 2005,154.8,143.1,Kimmeridgian,Tithonian,1
Tongnanlong,Wei et al. 2025,161.5,143.1,Oxfordian,Tithonian,1
Analong,Ren et al. 2021,170.9,168.2,Bajocian,,1
Ferganasaurus,Alifanov and Averianov 2003,165.3,161.5,Callovian,,1
Huashanosaurus,Mo et al. 2025,201.4,161.5,Hettangian,Callovian,1
Perijasaurus,Rincón et al. 2022,180.4,170.9,Toarcian,Aalenian,1
Janenschia,Wild 1991,149.2,143.1,Tithonian,,2
Lapparentosaurus,Bonaparte 1986,168.2,165.3,Bathonian,,1
Jinchuanloong,Li et al. 2025,168.2,165.3,Bathonian,,1
Bagualia,Pol et al. 2020,182.9,180.4,Toarcian,,1
Datousaurus,Dong and Tang 1984,174.7,154.8,Aalenian,Oxfordian,2
Shunosaurus,Dong et al. 1983,174.7,154.8,Aalenian,Oxfordian,5
Protognathosaurus,Olshevsky 1991,170.9,154.8,Bajocian,Oxfordian,1
Protognathus,Zhang 1988,170.9,154.8,Bajocian,Oxfordian,1
Patagosaurus,Bonaparte 1979,182.9,168.6,Toarcian,Bajocian,4
Chebsaurus,Mahammed et al. 2005,165.3,161.5,Callovian,,1
Barapasaurus,Jain et al. 1975,199.5,184.2,Sinemurian,Pliensbachian,2
Tazoudasaurus,Allain et al. 2004,192.9,174.7,Pliensbachian,Toarcian,2
Volkheimeria,Bonaparte 1979,182.9,180.4,Toarcian,,1
Isanosaurus,Buffetaut et al. 2000,192.9,174.7,Pliensbachian,Toarcian,1
Chinshakiangosaurus,Yeh 1975,201.4,199.5,Hettangian,,1
Lamplughsaura,Kutty et al. 2007,201.4,192.9,Hettangian,Sinemurian,4
Oplosaurus,Gervais 1852,137.05,121.4,Valanginian,Barremian,1
Ohmdenosaurus,Wild 1978,182.9,180.4,Toarcian,,1
Sanpasaurus,Young 1944,184.2,174.7,Toarcian,,3
Tapinosaurus,Rabeck 1925,152.21,149.2,Kimmeridgian,,1
Ingentia,Apaldetti et al. 2018,227.3,205.7,Norian,,1
Lessemsaurus,Bonaparte 1999,227.3,205.7,Norian,,1
Antetonitrus,Yates and Kitching 2003,201.4,192.9,Hettangian,Sinemurian,2
Vulcanodon,Raath 1972,199.5,184.2,Sinemurian,Pliensbachian,1
Archaeodontosaurus,Buffetaut 2005,168.2,165.3,Bathonian,,2
Kotasaurus,Yadagiri 1988,199.5,184.2,Sinemurian,Pliensbachian,2
Pulanesaura,McPhee et al. 2015,201.4,192.9,Hettangian,Sinemurian,1
Microdontosaurus,Zhao 1983,174.7,161.5,Aalenian,Callovian,1
Yizhousaurus,Zhang et al. 2018,199.5,192.9,Sinemurian,,1
Mussaurus,Bonaparte and Vince 1979,199.5,192.9,Sinemurian,,2
Aardonyx,Yates et al. 2010,201.4,192.9,Hettangian,Sinemurian,1
Jingshanosaurus,Zhang and Yang 1995,201.4,199.5,Hettangian,,2
Chuxiongosaurus,Lü et al. 2010,201.4,199.5,Hettangian,,2
Lishulong,Zhang et al. 2024,199.5,174.7,Sinemurian,Toarcian,1
Irisosaurus,Peyre de Fabrègues et al. 2020,192.9,184.2,Pliensbachian,,1
Sefapanosaurus,Otero et al. 2015,227.3,199.5,Norian,Hettangian,1
Ledumahadi,McPhee et al. 2018,201.4,192.9,Hettangian,Sinemurian,1
Schleitheimia,Rauhut et al. 2020,227.3,205.7,Norian,,1
Meroktenos,Peyre de Fabrègues and Allain 2016,227.3,201.4,Norian,Rhaetian,1
Yunnanosaurus,Young 1940,201.4,184.2,Hettangian,Pliensbachian,17
Blikanasaurus,Galton and Van Heerden 1985,227.3,201.4,Norian,Rhaetian,2
Daemonosaurus,Sues et al. 2011,205.7,201.4,Rhaetian,,1
Tawa,Nesbitt et al. 2009,227.3,205.7,Norian,,3
Gnathovorax,Pacheco et al. 2019,233.6,227.3,Carnian,,1
Staurikosaurus,Colbert 1970,237.0,227.3,Carnian,,2
Teyuwasu,Kischlat 1999,237.0,227.3,Carnian,,2
Sanjuansaurus,Alcober and Martínez 2010,237.0,227.3,Carnian,,1
